,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-09-14 16:06:06+00:00,1437809894623748099,"We are so excited to announce the schedule for our Fertile Ground weekend October 8-9 to celebrate the culmination of the project! Over the past two years we have been able to present over 20 installations around the city of Jackson. 1/🧵 

#fertilegroundjxn https://t.co/sMb1nVxoKw",_fertileground_,"Jackson, MS",1,1,2,1
1,2020-08-24 17:08:36+00:00,1297943904080232454,"”The monster is seemingly in a food deficient environment, however that does not stop him from finding the opportunity to eat. I feel like this design aligns with the values of the Fertile Ground project and that of an upcoming artist.

#fertilegroundjxn 
#thisisfertileground",_fertileground_,"Jackson, MS",1,0,2,0
2,2020-08-12 19:01:46+00:00,1293623730296496128,"Food is the epicenter of family gatherings— the absence of good food restricts a community’s ability to celebrate, heal, learn, and create.

#jxnms
#goodthingsjxn
#fertilegroundjxn 
#thisisfertileground
#muralsjxn
#foodsecurity
#publicartchallenge",_fertileground_,"Jackson, MS",0,1,3,0
3,2020-06-10 20:23:04+00:00,1270813757208514561,The Film | #FertileGroundJXN  https://t.co/t1LMCaPp25,jxntransplants,"Jackson, MS",0,1,2,0
4,2020-04-22 14:08:16+00:00,1252962426770898946,"Today marks the 50th anniversary of Earth Day and the anniversary of the signing of the Paris Agreement to take climate action. 

#EarthRise #EarthDay2020 #sustainability #thisisfertileground #fertileground #fertilegroundjxn #jxnms https://t.co/g7nArrjxUt",_fertileground_,"Jackson, MS",1,3,4,0
5,2020-04-02 17:22:58+00:00,1245763667548921857,"“What happens in South Jackson is what happens everywhere right, you have white flight, then you have economic flight” - @skippcoon 

#fertileground #thisisfertileground #fertilegroundjxn #foodinsecurity #foodaccess #publicart #publicartchallenge #jacksonmississippi https://t.co/SOdqIH3QUH",_fertileground_,"Jackson, MS",1,12,13,0
6,2020-01-17 15:12:28+00:00,1218189350057455618,"@JacksonMedMall Her family has been farming in the #Delta since 1948 &amp; more recently at Jubilee Ranch located in Jackson where they farm grass-fed cattle, soybeans and much more. She has a passion for organic farming, fighting food insecurities, empowering the youth! 

#fertilegroundjxn #jxnms",_fertileground_,"Jackson, MS",0,0,1,0
7,2020-01-10 14:52:27+00:00,1215647596913491968,"@BilalQizilbash The R U Hungry program feeds the hungry every Friday at 6 p.m. in downtown Jackson as well as in Brooklyn, New York on Sundays. Bilal pledges 2.5% of net profits from his company to the Draw-a-Smile Foundation. #fertilegroundjxn #thisisfertileground #RUhungry",_fertileground_,"Jackson, MS",0,0,0,0
8,2020-01-08 22:27:11+00:00,1215037257780015104,"The blueberries have arrived! 150 blueberry plants will be distributed amongst the Fertile Ground project sites at Galloway Elementary, Smith Park, and on Farish Street! They were grown by Finch Blueberry Nursery in NC and shipped bare-rooted 🌱🌱🌱 #fertilegroundjxn #jxnms https://t.co/dJ9LjJCZGy",_fertileground_,"Jackson, MS",0,0,5,0
9,2019-12-16 15:01:12+00:00,1206590103361118208,"Enrika Williams @ey_williams is a Jackson chef that grew up in West Point, where she helped her grandmother cook for her family, flipped through cookbooks for fun and watched culinary television icons such as Julia Child. #jxnms #FertileGroundjxn #FoodForThought https://t.co/8BG67LfVIP",_fertileground_,"Jackson, MS",1,2,8,1
