,Tweet Date,Tweet ID,Tweet text,Tweet Location
0,2021-09-28 16:11:10,1442884599319724034,"In November 2018, the City of Jackson was selected as a Bloomberg Philanthropies Public Art Challenge winner. Jackson received $1 million for its project, “The Fertile Ground Project: Inspiring Dialogue About Food Access,” using public art to raise awareness around the comple https://t.co/u8w0BVXS1g","Jackson, MS"
1,2021-09-28 14:45:16,1442862983219007493,We are so excited about the schedule for our Fertile Ground weekend of events to celebrate the culmination of the project! Over the past two years we have been able to present over 20 installations around the city of Jackson. Some are still up and can be viewed on our virtual map https://t.co/bgEbJoLNR0,"Jackson, MS"
2,2021-09-28 14:06:12,1442853150260662286,"In November 2018, the City of Jackson was selected as a Bloomberg Philanthropies Public Art Challenge winner. Jackson received $1 million for its project, “The Fertile Ground Project: Inspiring Dialogue About Food Access,” using public art to raise awareness around the comple https://t.co/RxkXk63Bx3","Jackson, MS"
3,2021-09-28 13:54:16,1442850148313350147,"Check out our very own Chef @ey_williams of Fauna Foodworks tonight on @FoodNetwork Beat Bobby Flay: Hate to Burst Your Shark Episode at 8 PM CT/ 9 PM ET. 
Things heat up in this summertime battle as chefs Phelix Gardner and Enrika Williams try to make a splash! https://t.co/bCnshALOJZ","Jackson, MS"
4,2021-09-27 18:48:53,1442561899963559945,"Thank you MyCityJXN for featuring the Fertile Ground celebrations on your site! Learn more by clicking on the link #publicart @VisitJacksonMS 
https://t.co/sgORz8Et2X","Jackson, MS"
5,2021-09-27 16:36:14,1442528519943245827,Workshop registration is live! https://t.co/uAOQbSn6Xq https://t.co/vmFYtULCaT,"Jackson, MS"
6,2021-09-19 00:00:29,1439378828548186117,"We are excited to share this project in a space filled with people, a screening of the Emmy Award winning documentary will be shown at the Burnt Sienna: Weaving the Textile and Culinary Arts benefit dinner presented by @chefenrikawilliams on Saturday, Oct. 9th at Foot Print Farms https://t.co/v0Y97STL0D","Jackson, MS"
7,2021-09-18 17:55:09,1439286890440511491,"Mississippi has some of the most fertile soil in the country. Today large industry dominates our land leaving us the most food insecure state in the country, but we can change that. Change takes place from the ground up. If we simply look under our feet we’ll find that we can s https://t.co/XwqjpmWUxh","Jackson, MS"
8,2021-09-17 15:58:16,1438895085194596352,"Burnt Sienna: Weaving of the Textile and Culinary Arts

A benefit dinner showcasing the beauty of textiles and the culinary arts presented by Chef Enrika Williams (@chefenrikawilliams).

The benefit dinner will be held Saturday, October 9, 2021 from 6:30 -11 PM at Foot Print Farm https://t.co/qXfQyHAQsl","Jackson, MS"
9,2021-09-15 20:09:44,1438233592421830659,"We are getting ready for the #FERTILEGROUND WEEKEND on Oct. 8th and 9th! Please join us for a volunteer day on Saturday, September 18 from 10 am to 12 pm at Galloway Elementary: 186 Idlewild St, Jackson, MS 39203 on the back side of the building. https://t.co/ccXrIIqZBH","Jackson, MS"
10,2021-09-14 16:08:01,1437810377002213388,All of our events will be organized outside. Vaccination is highly encouraged but not required for entry of events. Masks are required at all times during Fertile Ground events. Workshops will be capped at 20 people max.,"Jackson, MS"
11,2021-09-14 16:08:01,1437810376008155146,"market by Magnolia Sunset Market, and a Foot Print Farms fundraiser dinner curated by @ey_williams! Stay tuned for how to sign up for the events and to buy tickets for the dinner. 3/🧵","Jackson, MS"
12,2021-09-14 16:08:01,1437810374074671111,"Some are still up and can be viewed on our virtual map (link in bio).

For October 8-9 the Fertile Ground team will be scaling down our previous 2020 expo to present a series of events that feature our existing installations, workshops by local creators... 2/🧵","Jackson, MS"
13,2021-09-14 16:06:06,1437809894623748099,"We are so excited to announce the schedule for our Fertile Ground weekend October 8-9 to celebrate the culmination of the project! Over the past two years we have been able to present over 20 installations around the city of Jackson. 1/🧵 

#fertilegroundjxn https://t.co/sMb1nVxoKw","Jackson, MS"
14,2021-06-21 21:03:29,1407081765794156545,"RT @CivilEats: The Indigenous Seed Growers Network sprouted from the pandemic, and is quickly evolving to help communities secure their own…","Jackson, MS"
15,2021-06-21 14:44:23,1406986360863473665,"RT @BloombergDotOrg: Congratulations to @_fertileground_, part of our #PublicArtChallenge, on winning a @SoutheastEMMY for its documentary…","Jackson, MS"
16,2021-06-19 23:48:56,1406398623630475266,Congratulations to the creators of the Fertile Ground Documentary on winning a @SoutheastEMMY for its film on unequal access to healthy food in @CityOfJxnMS and opportunities that exist to change that. Watch it via @PBS: https://t.co/uljqxmovqx @BloombergDotOrg,"Jackson, MS"
17,2021-06-02 16:03:24,1400120875656044544,"RT @MuseumTrail: Happy #GlobalRunningDay hit the Museum Trail Phase 01!

Belhaven 1.4 Miles - 9 Entrances
#museumtrailjxn #jxntrailblazers…","Jackson, MS"
18,2021-05-19 19:08:29,1395094022704750592,"RT @BloombergDotOrg: Congratulations to @_fertileground_, part of our #PublicArtChallenge, on its recent @SoutheastEMMY nomination for its…","Jackson, MS"
19,2021-05-10 14:59:27,1391769863400656901,Excited to announce Fertile Ground Documentary has been nominated for an Emmy! Congrats to all the other nominees! You can watch the documentary here on PBS. https://t.co/mEGeiDFT2v https://t.co/blX7scnD42,"Jackson, MS"
20,2021-03-18 18:21:57,1372614266386329600,"RT @NFUDC: When restaurants closed during the pandemic, small scale farms turned to CSAs instead.

Many worried that interest would fizzle…","Jackson, MS"
21,2021-03-18 02:28:27,1372374308786466824,"RT @cadwego: “Even as someone who is fairly critical of our modern food system, I wasn’t prepared for the scale or sweep of @bittman’s indi…","Jackson, MS"
22,2021-03-16 15:59:11,1371853563475988482,"RT @BloombergDotOrg: We believe in the power of arts and culture to inspire creativity, spark collaboration, and build community. Learn how…","Jackson, MS"
23,2021-03-11 23:04:26,1370148640539430919,"Thank you for supporting our local community in Jackson, Mississippi. We love seeing our city on display in @BloombergDotOrg 2020 Annual Report featuring artwork by Mississippi artists #SabrinaHoward @JacksonStateU and Blackburn Learning Garden + #RicardoMoody at Bottom Gardens. https://t.co/onZKTp3DsH","Jackson, MS"
24,2021-03-11 23:02:15,1370148088678060037,RT @MikeBloomberg: Many would like to forget that 2020 happened—but there’s never been a year more important to learn from. In @BloombergDo…,"Jackson, MS"
25,2021-03-11 22:10:59,1370135188559253508,"RT @Inc: This morning, @Google is announcing the next steps in its plan to disrupt the world of education, including new certificate progra…","Jackson, MS"
26,2021-03-09 22:18:20,1369412262671360000,"Planning public space events during the COVID-19 pandemic will present new logistical and safety challenges. We want to hear from our community about concerns and other personal stressors that may influence your opinions around gathering for events.

https://t.co/4Ksja1JUHX","Jackson, MS"
27,2021-02-27 19:38:33,1365748174791581702,"A haiku for your Saturday inspiration.  
 
Red with fruition 
Crops tee is the ignition 
Support local art  

Photo: @MDubCreative 
Design: @tylertadlock 
Funded: Bloomberg Philanthropies https://t.co/1TaR0SAgID","Jackson, MS"
28,2021-02-23 20:06:44,1364305716064960512,"RT @foodprintorg: How can we ensure the dominant cultural narratives around food  include themes of democracy, racial equity &amp; sustainabili…","Jackson, MS"
29,2021-02-23 17:58:05,1364273338890223616,"Grocery tax news, see below. MS House proposes to phase out income tax while cutting grocery tax in half. What are your thoughts? https://t.co/BatztEY8Tg","Jackson, MS"
30,2021-02-23 16:18:38,1364248311394414594,RT @grist: A beginner’s guide to talking to your kids about climate change. https://t.co/daBXopkzea,"Jackson, MS"
31,2021-02-23 15:53:39,1364242023017029637,RT @CivilEats: New donations to Black-led food and land groups aim for true reparations. https://t.co/Ekj549UsB7 @Ruth_Terry for @yesmagazi…,"Jackson, MS"
32,2021-02-23 15:34:26,1364237187756269573,"Invest in spring with a local statement tee, southern spaces full of fertile ground &amp; potential. Plant the seeds today &amp; purchase our Horizon tees featured in white.  All proceeds go towards supporting public art installations. 

Photo: @MDubCreative 
Design: @tylertadlock https://t.co/9AbRufj9YG","Jackson, MS"
33,2021-02-22 16:22:11,1363886815082610689,"Spring is on the horizon, gear up for it with our Fertile Ground tees located on our website. All proceeds go towards the FG project, supporting our existing installations &amp; future public art projects. 
#goodthingsjxn #publicspace

Photo: @mdubcreative Model: @neo.tsa https://t.co/q7PSg3Zifu","Jackson, MS"
34,2021-01-26 18:37:26,1354136382495711235,RT @FoodSolutionsNE: The 21-Day Racial Equity Habit-Building Challenge is OPEN for registration! This year (our 7th) we run from April 5-25…,"Jackson, MS"
35,2021-01-26 16:30:41,1354104484197244928,To learn more about how the #grocerytax impacts Mississippians please check out the Fertile Ground Documentary. On average people are paying over $600 a year in grocery tax alone. Click the discussion guide link for more information on how to take action. https://t.co/7Yn5BilmJj https://t.co/RITNf0SPJq,"Jackson, MS"
36,2021-01-26 16:30:32,1354104446922448896,@WLBT To learn more about how the #grocerytax impacts Mississippians please check out the Fertile Ground Documentary. On average people are paying over $600 a year in grocery tax alone. Click the discussion guide link for more information on how to take action. https://t.co/7Yn5BilmJj,"Jackson, MS"
37,2021-01-24 17:55:58,1353401169603915779,"RT @CivilEats: A decade after writing a book about agriculture's connection to climate change, Anna Lappé interviews the author of a new st…","Jackson, MS"
38,2021-01-22 18:01:50,1352677871203086343,RT @ggsims77: MUST WATCH! This is my home &amp; just one of the issues that causes me to lose sleep at night. So many points to reflect on. Wat…,"Jackson, MS"
39,2021-01-22 04:12:08,1352469068452868103,"@GanucheauAdam Thank you for retweeting! Also if people want to read thru our documentary discussion guide we also have a take action page that breaks down how you can help. 

https://t.co/wSObQbLFCI","Jackson, MS"
40,2021-01-22 04:00:21,1352466103222599680,"@GanucheauAdam @MSTODAYnews @BobbyHarrison9 We discuss the issue of the grocery tax in the Fertile Ground documentary. On average citizens in MS pay over $600 a year on groceries alone. For some that might not seem like much but for many people in MS it means a lot. Learn more here 

https://t.co/7Yn5BilmJj","Jackson, MS"
41,2021-01-22 03:54:49,1352464710436868096,@FoodCorps @USDA @JoeBiden Congrats! We hope to hear more from the @usda urban agriculture committee’s plan to enhance support for farming in urban areas.,"Jackson, MS"
42,2021-01-22 01:00:14,1352420775530291202,"We’ve BEEN asking for this!

Key House leader says Mississippi should cut highest-in-nation grocery tax https://t.co/ND56czXrXe","Jackson, MS"
43,2021-01-06 15:10:20,1346836505399066624,"RT @FourStoriesUVIC: PODCAST CHANNEL: Food and the ways we consume, create, and interpret food can be political. Listen to discussions abou…","Jackson, MS"
44,2021-01-04 23:34:33,1346238617719549954,"Added to our reading list, thanks @grist for the recommendation. https://t.co/cpqdMn1gzc","Jackson, MS"
