,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-09-29 23:30:19+00:00,1443357503069229066,This increase is intended to put healthy food choices in reach for families that might not have been able to afford fresh fruit and vegetables. https://t.co/iQW7XzunsW,WLBT,"Jackson, MS",0,0,0,0
1,2021-09-29 22:32:51+00:00,1443343041243275267,"Rainy weather got me feeling like scary movies, good food, &amp; smoke is the move. 😌",Down_2Mars,"Jackson, MS",0,0,1,1
2,2021-09-29 21:10:28+00:00,1443322307850686468,@tweetingcatsss Food coma at its best.,MSgirl29,"Edwards, MS",0,0,0,0
3,2021-09-29 20:33:13+00:00,1443312935707848712,@5drinkMax Portable food! I like it! 🤣,CJLawrenceEsq," Jackson, MS",1,1,1,0
4,2021-09-29 19:32:34+00:00,1443297672509759492,"@kvngdeonta Ong, don’t let you go pick up some food cause it’s over w.",trippinoverthis,"Jackson, MS",1,0,0,0
5,2021-09-29 18:34:10+00:00,1443282975630757892,@jdent_ They was my favorite food until I threw up off of them now I can’t eat them without getting sick 😭,Juscallmekiara,"Jackson, MS",1,0,0,0
6,2021-09-29 18:24:42+00:00,1443280591890251779,Flowers Foods is hiring in MS! Click the link in our bio to apply: Systems Engineer - Remote #IT,tmj_MS_it,Mississippi,0,0,0,0
7,2021-09-29 18:17:17+00:00,1443278726557487112,"Planning the holiday events for your group or organization? Let us handle the food! Check out our catering menu online at 
https://t.co/1bFf8AGaK7! 

#TheFrogheadGrill #FrogheadCaters https://t.co/bBaBMQYvyE",FrogHead1,"Clinton, MS",0,0,0,0
8,2021-09-29 17:00:38+00:00,1443259436399726601,This Gopher Tortoise hatchling is only days old and is taking her first bites of food. The Nature Conservancy in Mississippi helps the endangered species grow to a healthy age before setting them free in the wild in hopes that they will reproduce and preserve the species. https://t.co/9ruaKbNweg,ms_nature,"Madison, MS",0,0,1,0
9,2021-09-29 16:08:40+00:00,1443246356219445250,Honestly I want new food I’m really getting tired of the same ole shit honestly 🤦🏽‍♀️ehh ion know,brixxotic,"Byram, MS",0,0,0,0
10,2021-09-29 15:48:08+00:00,1443241190392881157,"@DanaFrancois @NoelDidla @futureoffoodorg @WK_Kellogg_Fdn What a great nugget of wisdom from Noel, she’s a true food justice warrior.",IAmAishaDiane,"Brandon, MS",1,0,1,0
11,2021-09-29 15:37:57+00:00,1443238628885475336,Buying groceries being a single parent is illegal to me😭Food stamps where tf you at,akiemia1908,"West Point, MS",0,0,0,0
