Datetime,Unnamed: 0,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count,compound,neg,neu,pos,Year,Month,Day,Weekday Name,date,yearMonth,cleanTweet,temp_list,Sentiment Label
2020-12-27 22:08:13+00:00,0,1343317791483559937,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/VC4lMf8JGD",komala_hayes,,0,1,2,0,0.4404,0.0,0.805,0.195,2020,12,27,Sunday,2020-12-27,2020-12, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-07-13 05:38:10+00:00,1,1282549864392425472,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,0,0,0.4404,0.0,0.805,0.195,2020,7,13,Monday,2020-07-13,2020-07, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-07-12 17:28:00+00:00,2,1282366111032455168,"""'Fertile Ground' Explores How Jackson, Mississippi, Is Charting a Better Food Future"" via @CivilEats https://t.co/e62xDTDCPq",hollowearths,"Queens, NY",0,0,4,0,0.4404,0.0,0.828,0.172,2020,7,12,Sunday,2020-07-12,2020-07, fertile ground explores how jackson mississippi is charting a better food future via civileats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'via', 'civileats']",positive
2020-06-22 12:10:20+00:00,4,1275038407677415427,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/LtBoTFsXhR",DavidDuguid27,,0,0,0,0,0.4404,0.0,0.805,0.195,2020,6,22,Monday,2020-06-22,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-06-19 14:35:58+00:00,5,1273987896450732032,"Looking forward to watching Fertile Ground about Jackson, Mississippi, we need #foodjustice everywhere now more than ever
https://t.co/whO2TxH6p5",alicetahi,"Cardiff, Wales",0,0,2,0,0.0,0.0,1.0,0.0,2020,6,19,Friday,2020-06-19,2020-06,looking forward to watching fertile ground about jackson mississippi we need foodjustice everywhere now more than ever ,"['looking', 'forward', 'watching', 'fertile', 'ground', 'jackson', 'mississippi', 'need', 'foodjustice', 'everywhere', 'ever']",neutral
2020-06-19 05:38:13+00:00,6,1273852564950433793,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,1,0,0.4404,0.0,0.805,0.195,2020,6,19,Friday,2020-06-19,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-06-16 02:58:26+00:00,8,1272725191488163841,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/LSNebZq97j",HbcuProf,"Atlanta, GA",0,6,14,1,0.4404,0.0,0.838,0.162,2020,6,16,Tuesday,2020-06-16,2020-06, fertile ground explores how jackson mississippi is charting a better food future civil eats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats']",positive
2020-06-15 00:10:00+00:00,9,1272320417475096578,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future    
https://t.co/p1rLi2Unos",dinamarinas,,0,0,1,0,0.4404,0.0,0.805,0.195,2020,6,15,Monday,2020-06-15,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-06-14 13:43:08+00:00,10,1272162660633571328,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | “In many respects, food is love in our communities. Food is a reflection of how we demonstrate our appreciation for people.” ⁦@CivilEats⁩  https://t.co/CMRvFoeNrh",Dan_Adelman1,"Cowichan Valley, B.C.",0,1,7,0,0.9136,0.0,0.716,0.284,2020,6,14,Sunday,2020-06-14,2020-06, fertile ground explores how jackson mississippi is charting a better food future in many respects food is love in our communities food is a reflection of how we demonstrate our appreciation for people civileats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'many', 'respects', 'food', 'love', 'communities', 'food', 'reflection', 'demonstrate', 'appreciation', 'people', 'civileats']",positive
2020-06-11 23:06:42+00:00,11,1271217320816521216,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/AoxdpzcPke",ZulaQi,,0,0,0,0,0.4404,0.0,0.838,0.162,2020,6,11,Thursday,2020-06-11,2020-06, fertile ground explores how jackson mississippi is charting a better food future civil eats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats']",positive
