,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-09-28 16:11:10+00:00,1442884599319724034,"In November 2018, the City of Jackson was selected as a Bloomberg Philanthropies Public Art Challenge winner. Jackson received $1 million for its project, “The Fertile Ground Project: Inspiring Dialogue About Food Access,” using public art to raise awareness around the comple https://t.co/u8w0BVXS1g",_fertileground_,"Jackson, MS",0,1,2,0
1,2021-09-02 15:44:55+00:00,1433455908177199106,"There is so much the city of  #NewOrleans still needs help with. Little to no power in the city, lines extending miles for gas to power generators, and limited access to food/water. If@you are able, please consider donating to one of these orgs. 2/x https://t.co/SbheYxy8hw",bertelfleming,,1,2,3,0
2,2021-06-19 23:48:56+00:00,1406398623630475266,Congratulations to the creators of the Fertile Ground Documentary on winning a @SoutheastEMMY for its film on unequal access to healthy food in @CityOfJxnMS and opportunities that exist to change that. Watch it via @PBS: https://t.co/uljqxmovqx @BloombergDotOrg,_fertileground_,"Jackson, MS",0,4,7,1
3,2021-03-12 01:24:58+00:00,1370184004117356554,"...who may be without food and have difficulty with water, have access to these essential resources, in a way that is safe and follows Covid-19 social distancing guidelines.

For more information about this event or about Mississippi MOVE, call 662-205-6683 or 601-543-9600.",MississippiMOV1,Mississippi communities,0,0,0,0
4,2021-02-19 16:34:35+00:00,1362802774665232392,Jackson is looking for food trucks to help feed families without access to water and power #helpJackson https://t.co/AwWq1VkpDP,HeyAprill,"Jackson, MS",0,13,2,0
5,2021-02-09 15:58:58+00:00,1359169931649175558,"@ReflectShade @_atanas_ @docmmiller @Drstevenhobbs @DrTomMartinPhD @DrPeterBagshaw @SteveFDA @PeterHotez @EwingT_PhD @_INPST Food abundance, fruit and juice access reducing scurvy, fortification (dairy D, iodine, iron, ...), food cleanliness and sanitation farm to table, cooking, freezing, canning, adequate protein, reduced food costs, ... all part of longer lives. Could be better, but alotta good.",npkveg,"Mississippi, USA",0,0,1,0
6,2021-01-01 15:55:31+00:00,1345035936908849153,"So that's about how long the socialist/democrats believe it'll take to gain full control of Nation ! Either by strict government control of public movement, access to food, utilities, jobs, ect ! In order to bring Americans to accept socialist control !

https://t.co/tI4rSHuL2c",Lessweforget57, USA,0,0,0,0
7,2020-12-14 22:37:53+00:00,1338614215276367880,"@CedDHampton bro, I was just thinking about food accessibility in the metro. the selection is so limited. even if there are a good amount of options, many are unhealthy and render our communities as food swamps. how do you get access to quality food w/o breaking the bank?",calvertlamon,"Jackson, MS",1,0,3,0
8,2020-11-27 21:41:31+00:00,1332439433229045761,If I had access to food like I would like this being in Quarantine wouldn’t even so bad #FuckCovid,JayShad,DMV,0,0,1,0
9,2020-11-04 09:15:21+00:00,1323916736333258753,"The American Dream is https://t.co/20eBpqmPkQ can't buy a home, car or even food with employment going down, taxes going up, Americans facing increased threats from drug cartels &amp; terrorists being allowed easier access border crossing because of democrats open borders policies.",Lessweforget57, USA,0,0,0,0
10,2020-03-14 14:07:57+00:00,1238829219955855362,"@IAmMzWord There are some talking about this on other channels, too.
Same with those kids who may not have a way to access the free meals they normally get at school.

Time for everyone to step up and help their neighbor.
Buy them food.
Help watch the kids.
#COVID19",LauraOinAK,"Poplarville, MS",1,0,1,0
11,2020-02-25 17:44:56+00:00,1232360845067345921,Brian Howard from @AIPInstitute talking about federal policy solutions for broadband access to support food access and development in #IndianCountry at the @NCAI1944 Tribal #FoodSovereignty Summit https://t.co/ytuN3tvy5B,ColbyDuren,"Washington, DC",0,2,9,1
12,2020-01-24 05:52:12+00:00,1220585069515022337,"Dear @OleMissRebels,

I am indeed not a RebelSharkBear, but I have most definitely enjoyed seeing hundreds of pictures and videos across social media platforms of the food delivering robots. I am sincerely thankful for them, despite I don’t actually have access to them. 

xoxo❤️",LillianAngle,38863,0,0,0,0
13,2019-11-30 22:38:36+00:00,1200907005709422593,"Millions could lose access to food stamps under Trump proposal, study finds

https://t.co/5o0NmGAO7q",Werdnat,Texas,0,0,0,0
14,2019-11-21 04:51:11+00:00,1197376890975195139,Thank you @CityofJacksonMS &amp; @_fertileground_ for the opportunity to talk about our advocacy for equitable access to healthy food @justice4ms. #publichealthlaw https://t.co/wvo4nRG3Qp,MadelineinDC,DC (Occupied Powhatan Land),0,0,4,0
15,2019-10-19 19:31:13+00:00,1185639560421793793,"I voted #FreeSchoolLunches on @TheTylt. All students should have access to the same food at school, regardless of their ability to pay. https://t.co/k5voxz8YIP",TetraStark,hell,0,0,0,0
