,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2021-09-28 13:01:55+00:00,1442836972389769216,"Each year the U.S. rice industry distributes 40 million pounds of rice to combat food insecurity. Interested in more rice facts like this one? Visit, https://t.co/gb6AJu3zlZ https://t.co/1paVnId2Ls",MSFarmBureau,"Jackson, MS",0,0,3,0
1,2021-07-22 15:17:44+00:00,1418228775062540290,Thanks to those who help us continue our mission with monetary donations. Here’s what your donations have bought so far this month to further our FOOD INSECURITY mission. https://t.co/1mRogFvts5,Stk_Strong,,0,1,1,0
2,2021-01-22 17:42:28+00:00,1352672997283393541,MUST WATCH! This is my home &amp; just one of the issues that causes me to lose sleep at night. So many points to reflect on. Watch it!  #foodinsecurity #StillMadAtKroger  #WhyDoWeTaxFood #GrowAGarden https://t.co/FYYnDlUKJX,ggsims77,Mississippi,0,1,2,0
3,2020-12-05 16:40:28+00:00,1335262776105857026,"This is what Pandemic has turned America into, so much food insecurity and POC are the ones mostly affected. We saw lines of exotic cars waiting for food at a food bank in Dallas, now this. https://t.co/4FrzFCdUAO",OludareOkusanya,"Jackson, MS",1,0,0,0
4,2020-05-14 13:43:24+00:00,1260928702587830273,"@gstew2 Only small businesses. Still work to do to address food insecurity, healthcare, education, cities and counties and protecting workers.",jarvisdortch,"Jackson, MS",0,0,1,0
5,2019-11-27 19:33:56+00:00,1199773367668289539,".@AMJPublicHealth’s new issue is my Thanksgiving holiday weekend reading list. Thank you for featuring pieces on immigrant and sexual health, food insecurity (&amp; SNAP), and gun violence! #publichealth https://t.co/xcUoVkj7fN",MadelineinDC,DC (Occupied Powhatan Land),0,0,0,0
6,2019-10-08 14:08:07+00:00,1181571980690153472,"@mtmorcelle speaking on the role that food insecurity plays in chronic diseases like heart disease. Especially in MS!
@AHAMetroJackson @AHAlivehealthy #GoRedForWomen https://t.co/zjLg5nruk5",McMullanMike,"Ridgeland, MS",0,0,0,0
7,2019-07-02 20:49:16+00:00,1146158925009641473,@clarionledger This is pretty embarrassing! Instead of worrying about renaming a non-issue how about worrying about the food insecurity issues this state faces or the public health crisis. Priorities are all out of wack.,_salamrida,"Jackson, MS",0,0,4,0
8,2019-04-05 17:20:14+00:00,1114216186508713985,Intersectoral action is key to effectively fighting food insecurity in pursuit of heath justice. This great infographic from @fractweets breaks down key midstream and #upstream health system actions. #SDOH #pophealth https://t.co/IApQfbjQ06,MadelineinDC,DC (Occupied Powhatan Land),0,1,4,0
9,2019-02-09 18:06:29+00:00,1094296492343472129,"With 600,000 Mississippians considered to be food insecure, including 1 in 4 children—the highest food insecurity rate in the nation. I’ve drafted versions of HB 1343 for the last few sessions to exempt sales taxes on groceries—Republican leadership refuses to allow a floor vote.",jerameyanderson,"Mississippi, USA",8,34,64,3
10,2018-11-29 18:22:20+00:00,1068208555008974848,"Exciting news! The City of Jackson won one of 14 $1Million grants (out of 200 applicants!) from the Bloomberg Foundation for “Fertile Ground,” a project to promote healthy food choices and counter food insecurity in collaboration with local artists, chefs, etc. https://t.co/vJqHtUnbcd",EpisDioMS,"Jackson, MS",0,2,3,0
11,2018-11-29 17:41:29+00:00,1068198272655941632,"This press conference is about Bloomberg Philanthropies’ public art challenge. As of July, Jackson was a finalist to receive $1 million for a project about food insecurity and access. 

More: https://t.co/2yjfLr5MkX",keaux_,NOLA ,1,3,1,1
12,2018-11-01 06:58:11+00:00,1057889524733362177,"If you think about #foodinsecurity all the time &amp; also overthink this #Halloween offering, then it doubles as commentary on why telling low-income people to make healthier food choices w/o addressing societal barriers (e.g. cost of nutritious food v. junk food) makes no sense. https://t.co/vaWGiqiDro",MadelineinDC,DC (Occupied Powhatan Land),0,0,0,0
13,2018-08-09 14:37:06+00:00,1027564431188914176,For ten years @TysonFoods has donated a truckload of protein to Mid-South Food Bank to help end hunger throughout #MS02. The donated food will be distributed among the Food Bank’s partners that provide daily meals and food pantry services to food insecurity. #TysonCommunities https://t.co/47X1B3xAsX,BennieGThompson,"Bolton, Mississippi",1,1,9,0
