,Datetime,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count
0,2020-12-27 22:08:13+00:00,1343317791483559937,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/VC4lMf8JGD",komala_hayes,,0,1,2,0
1,2020-07-13 05:38:10+00:00,1282549864392425472,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,0,0
2,2020-07-12 17:28:00+00:00,1282366111032455168,"""'Fertile Ground' Explores How Jackson, Mississippi, Is Charting a Better Food Future"" via @CivilEats https://t.co/e62xDTDCPq",hollowearths,"Queens, NY",0,0,4,0
4,2020-06-22 12:10:20+00:00,1275038407677415427,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/LtBoTFsXhR",DavidDuguid27,,0,0,0,0
5,2020-06-19 14:35:58+00:00,1273987896450732032,"Looking forward to watching Fertile Ground about Jackson, Mississippi, we need #foodjustice everywhere now more than ever
https://t.co/whO2TxH6p5",alicetahi,"Cardiff, Wales",0,0,2,0
6,2020-06-19 05:38:13+00:00,1273852564950433793,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,1,0
8,2020-06-16 02:58:26+00:00,1272725191488163841,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/LSNebZq97j",HbcuProf,"Atlanta, GA",0,6,14,1
9,2020-06-15 00:10:00+00:00,1272320417475096578,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future    
https://t.co/p1rLi2Unos",dinamarinas,,0,0,1,0
10,2020-06-14 13:43:08+00:00,1272162660633571328,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | “In many respects, food is love in our communities. Food is a reflection of how we demonstrate our appreciation for people.” ⁦@CivilEats⁩  https://t.co/CMRvFoeNrh",Dan_Adelman1,"Cowichan Valley, B.C.",0,1,7,0
11,2020-06-11 23:06:42+00:00,1271217320816521216,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/AoxdpzcPke",ZulaQi,,0,0,0,0
12,2020-06-11 05:40:25+00:00,1270954016667832320,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,0,0
13,2020-06-10 22:16:19+00:00,1270842256661110785,"'‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future' | The new documentary—and a city-wide public art project—addresses redlining, income inequality, and structural racism through the lens of food. via Civil Eats - https://t.co/vWHGdSO5w1",MrOkra,New York/Brazil,0,0,0,0
14,2020-06-10 19:22:03+00:00,1270798400603262977,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/YuxPlqzzKf, see more https://t.co/AQWlQSgzxn",TT_Organic,,0,0,0,0
15,2020-06-10 19:22:03+00:00,1270798399047110658,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/HPh9FkynaO, see more https://t.co/Gueoi0QDMZ",Personal_editio,,0,0,0,0
16,2020-06-10 19:22:03+00:00,1270798397906264066,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/P9F4ot4jj0, see more https://t.co/SkqtUpGgat",wflo,California,0,0,0,0
17,2020-06-10 19:22:02+00:00,1270798394597019648,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/7c2TEZZJgH, see more https://t.co/auRcW7er8x",FiyyazAhmed_06,WORLDWIDE🌍,0,0,0,0
18,2020-06-10 17:37:57+00:00,1270772203433259008,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/BFZL89V3pr https://t.co/4v0SAmOwn2",OccuWorld,Earth,0,0,1,0
20,2020-06-10 14:34:35+00:00,1270726056186535942,"Fertile Ground shows how historic redlining resulted in the mostly Black and impoverished neighborhood of South Jackson, Mississippi having few grocery stores but several convenience stores with low-quality food. via @CivilEats  https://t.co/g1YLZ5GWf7",oneearth,,0,0,6,0
21,2020-06-10 11:03:03+00:00,1270672821308424194,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/yXl8Jgo4wS via @civileats",sugaredmagnolia,Utah,0,0,0,0
22,2020-06-10 10:31:09+00:00,1270664794765484034,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/wcLdmGrsas",WaYs2rOcK,"New Delhi, India",0,0,0,0
23,2020-06-10 09:26:05+00:00,1270648421272125440,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/dKsuwin37X",GreeninDenver,"Denver, Colorado",0,0,0,0
